PresetID,Symbol,NetProfit,ProfitFactor,TotalTrades,WinTrades,LossTrades,WinRate,AvgWin,AvgLoss,LargestWin,LargestLoss,MaxDrawdownPercent,MaxDrawdownMoney,SharpeRatio,RecoveryFactor,ExpectedPayoff,MaxConsecutiveLosses,MaxConsecutiveLossesCount,FilterBlocks_RN,FilterBlocks_KZ,FilterBlocks_Spr,K_swing,N_bos,LookbackInternal,M_retest,EqTol,BOSBufferPoints,UseKillzones,UseRoundNumber,UseVSA,RNDelta,L_percentile,RiskPerTradePct,SL_BufferUSD,TP1_R,TP2_R,BE_Activate_R,PartialClosePct,TimeStopMinutes,MinProgressR,MaxSpreadUSD,MaxOpenPositions,UsePendingRetest,RetestOffsetUSD,PendingExpirySec,UseTrailing,TrailMode,TrailATRPeriod,TrailATRMult,TrailStepUSD,TrailStartRR,UsePyramid,MaxAdds,AddSpacingUSD,AddSizeFactor,CooldownSec,UseATRScaling,ATRScalingPeriod,SL_ATR_Mult,Retest_ATR_Mult,AddSpacing_ATR_Mult,TrailStep_ATR_Mult,MaxSpread_ATR_Mult,RNDelta_ATR_Mult
33,XAUUSD,224.63,5.25,25,21,4,84,13.22,-13.22,36.25,-21.39,0.21,21.39,119.76,4.68,8.99,-21.39,1,0,3618,0,50,6,12,3,0.2,2,TRUE,TRUE,FALSE,0.35,150,0.5,0.5,1.4,2,1,30,5,0.5,0.4,1,FALSE,0.07,60,TRUE,1,21,2.2,0.3,1.2,FALSE,0,0,0,120,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
31,XAUUSD,223.5,5.23,16,12,4,75,23.03,-13.22,62.15,-21.39,0.21,21.39,62.15,4.66,13.97,-21.39,1,0,3618,0,50,6,12,3,0.2,2,TRUE,TRUE,FALSE,0.35,150,0.5,0.5,1.2,2,0.8,40,5,0.5,0.5,1,FALSE,0.07,60,TRUE,2,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
25,XAUUSD,213.16,5.15,33,29,4,87.9,9.12,-12.84,32.17,-20.06,0.2,20.06,100.03,5.03,6.46,-20.06,1,0,3842,0,50,6,12,3,0.22,1,TRUE,TRUE,FALSE,0.4,150,0.5,0.55,1,2,0.8,50,5,0.5,0.5,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
21,XAUUSD,213.16,5.15,33,29,4,87.9,9.12,-12.84,32.17,-20.06,0.2,20.06,100.03,5.03,6.46,-20.06,1,0,3842,0,50,6,12,3,0.22,1,TRUE,TRUE,FALSE,0.4,150,0.5,0.55,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
1,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3618,0,50,6,12,3,0.2,2,TRUE,TRUE,FALSE,0.28,150,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
4,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3618,0,50,6,12,3,0.2,2,TRUE,TRUE,FALSE,0.35,150,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
5,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3618,0,50,6,12,3,0.2,2,TRUE,TRUE,FALSE,0.25,150,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
6,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3618,0,50,6,12,3,0.2,2,TRUE,TRUE,FALSE,0.3,150,0.5,0.6,1,2,0.8,50,5,0.5,0.5,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
7,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3618,0,50,6,12,2,0.2,2,TRUE,TRUE,FALSE,0.3,150,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
8,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3618,0,50,6,12,4,0.2,2,TRUE,TRUE,FALSE,0.3,150,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
56,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3618,0,50,6,12,3,0.2,2,TRUE,TRUE,FALSE,0.28,150,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
9,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3842,0,50,6,12,3,0.22,1,TRUE,TRUE,FALSE,0.4,150,0.5,0.6,1,2,0.8,50,5,0.5,0.6,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
10,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3618,0,50,6,12,3,0.2,2,TRUE,TRUE,FALSE,0.32,150,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
11,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3618,0,50,6,12,3,0.2,2,TRUE,TRUE,FALSE,0.3,150,0.5,0.6,1,2,1,50,5,0.5,0.55,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
12,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3459,0,55,6,12,3,0.2,1.5,TRUE,TRUE,FALSE,0.3,150,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
13,XAUUSD,209.46,5.17,33,29,4,87.9,8.95,-12.55,32.17,-20.06,0.2,20.06,100.11,5,6.35,-20.06,1,0,3618,0,50,6,12,3,0.2,2,TRUE,TRUE,FALSE,0.28,150,0.5,0.6,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
14,XAUUSD,209.17,5.17,33,29,4,87.9,8.94,-12.55,30.48,-20.06,0.2,20.06,101.13,5.05,6.34,-20.06,1,0,3302,0,50,6,12,3,0.18,2,TRUE,TRUE,FALSE,0.3,150,0.5,0.65,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
18,XAUUSD,208.18,5.96,34,30,4,88.2,8.34,-10.5,32.17,-20.41,0.2,20.41,113.89,7.66,6.12,-20.41,1,0,3618,0,50,6,12,3,0.2,2,TRUE,TRUE,FALSE,0.3,150,0.5,0.6,1,2,0.8,50,4,0.6,0.55,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
2,XAUUSD,193.24,6.13,30,27,3,90,8.55,-12.55,30.48,-20.06,0.2,20.06,106.61,6.93,6.44,-20.06,1,0,2095,0,60,5,12,3,0.18,2,TRUE,TRUE,FALSE,0.3,150,0.5,0.7,1,2,0.8,50,5,0.5,0.45,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
3,XAUUSD,193.24,6.13,30,27,3,90,8.55,-12.55,30.48,-20.06,0.2,20.06,106.61,6.93,6.44,-20.06,1,0,2095,0,60,5,12,3,0.18,2,TRUE,TRUE,FALSE,0.3,150,0.5,0.7,1,2,1,50,5,0.5,0.48,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
15,XAUUSD,193.23,6.06,30,27,3,90,8.57,-12.73,30.48,-20.06,0.2,20.06,105.25,6.93,6.44,-20.06,1,0,2185,0,55,5,12,3,0.18,2.5,TRUE,TRUE,FALSE,0.3,150,0.5,0.65,1,2,0.8,50,5,0.5,0.55,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
16,XAUUSD,193.23,6.06,30,27,3,90,8.57,-12.73,30.48,-20.06,0.2,20.06,105.25,6.93,6.44,-20.06,1,0,2185,0,55,5,12,3,0.18,2,TRUE,TRUE,FALSE,0.3,150,0.5,0.65,1,2,0.8,50,5,0.5,0.48,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
19,XAUUSD,186.15,5.88,31,28,3,90.3,8.01,-12.73,23.7,-20.06,0.2,20.06,99.1,5.68,6,-20.06,1,0,2185,0,55,5,12,3,0.18,2,TRUE,TRUE,FALSE,0.3,150,0.5,0.65,1,2,1,40,5,0.5,0.55,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
83,XAUUSD,169.95,56,23,22,1,95.7,7.87,-3.09,19.2,-3.09,0.03,3.09,7.53,0.33,7.39,-3.09,1,0,2064,0,80,9,22,6,0.16,1,TRUE,TRUE,FALSE,0.28,140,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,TRUE,0.04,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
20,XAUUSD,140.57,5.67,29,26,3,89.7,6.56,-10.03,18.62,-16.05,0.16,16.05,100.92,5.2,4.85,-16.05,1,0,1980,0,65,5,12,2,0.18,2,TRUE,TRUE,FALSE,0.3,150,0.4,0.7,1,2,0.8,40,5,0.6,0.6,1,FALSE,0.07,60,FALSE,0,14,2,0.3,1,FALSE,0,0.4,0.6,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
82,XAUUSD,106.79,35.56,14,13,1,92.9,8.45,-3.09,19.03,-3.09,0.03,3.09,3.36,0.28,7.63,-3.09,1,0,2002,0,70,8,20,5,0.16,1,TRUE,TRUE,FALSE,0.28,140,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,TRUE,0.04,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
81,XAUUSD,85.31,0,10,10,0,100,8.53,0,19.03,0,0,0,2.22,0.39,8.53,0,0,0,1854,0,65,7,18,4,0.16,1,TRUE,TRUE,FALSE,0.28,140,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,TRUE,0.04,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
89,XAUUSD,85.31,0,10,10,0,100,8.53,0,19.03,0,0,0,2.22,0.39,8.53,0,0,0,1854,0,65,7,18,4,0.16,1,TRUE,FALSE,FALSE,0.28,160,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,TRUE,0.04,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
102,GBPUSD,84.91,1.16,81,69,12,85.2,9.17,-45.63,37.77,-61.84,2.99,300.57,1.5,0.16,1.05,-300.57,5,2912,864,65,45,5,10,2,0,20,TRUE,TRUE,FALSE,0,120,0.6,0,1.6,3.2,0.8,35,120,0.8,0,2,FALSE,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
80,XAUUSD,75.3,8.52,12,10,2,83.3,8.53,-5,19.03,-6.55,0.1,10.01,2.56,0.34,6.27,-10.01,2,0,2395,0,60,7,16,4,0.16,1,TRUE,TRUE,FALSE,0.28,140,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,TRUE,0.04,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
88,XAUUSD,75.3,8.52,12,10,2,83.3,8.53,-5,19.03,-6.55,0.1,10.01,2.56,0.34,6.27,-10.01,2,0,2395,0,60,7,16,4,0.16,1,TRUE,FALSE,FALSE,0.28,160,0.4,0.55,1.2,2.4,0.7,35,60,0.6,0.5,3,TRUE,0.04,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
119,XAUUSD,72.29,1.38,42,28,14,66.7,9.3,-13.44,28.44,-26.2,1.13,114.72,26.64,0.59,1.72,-64.44,3,0,11081,0,50,8,8,1,0.3,250,TRUE,TRUE,FALSE,0.35,120,0.5,1.6,1.2,2,1.2,50,5,0.8,0.3,2,FALSE,0.25,90,FALSE,0,14,0,0,0,FALSE,0,0,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
109,USDJPY,68.65,1.54,16,14,2,87.5,13.93,-63.22,50.56,-66.15,0.65,66.15,7.42,0.65,4.29,-66.15,1,3695,994,3,65,7,14,3,0.02,20,TRUE,TRUE,FALSE,0.01,140,0.6,0.06,1.8,3.5,0.9,30,150,0.9,0.01,2,FALSE,0.01,0,FALSE,0,0,0,0.01,0,FALSE,0,0.04,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
90,EURUSD,64.12,1.25,97,85,12,87.6,3.79,-21.47,13.99,-25.5,1.3,132.21,1,0.11,0.66,-100.52,4,1823,965,0,50,5,12,3,0,20,TRUE,TRUE,FALSE,0,130,0.25,0,0.9,2.2,0.6,45,60,0.6,0,4,FALSE,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
111,USDJPY,60.72,0,11,11,0,100,5.52,0,21.06,0,0,0,12.62,2.94,5.52,0,0,3695,994,3,65,7,14,3,0.02,20,TRUE,TRUE,FALSE,0.01,140,0.45,0.06,1.4,3,0.8,35,120,0.8,0.01,3,TRUE,0.01,2400,FALSE,0,0,0,0.01,0,FALSE,0,0.04,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
113,USDJPY,60.72,0,11,11,0,100,5.52,0,21.06,0,0,0,12.62,2.94,5.52,0,0,3695,994,3,65,7,14,3,0.02,20,TRUE,TRUE,FALSE,0.01,140,0.45,0.06,1.4,3,0.8,35,120,0.8,0.01,3,TRUE,0.01,3600,FALSE,0,0,0,0.01,0,FALSE,0,0.04,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
114,XAUUSD,52.73,1.18,66,51,15,77.3,6.71,-19.29,21.12,-31.1,1.1,110.64,7.68,0.32,0.8,-77.51,4,0,5174,0,40,4,10,2,0.5,100,TRUE,FALSE,FALSE,0.3,110,0.3,0.8,1.5,3,1.2,40,15,0.5,0.3,3,FALSE,0.3,60,FALSE,0,14,0,0,0,FALSE,0,0,0.6,45,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
78,XAUUSD,40.16,0,7,7,0,100,5.74,0,13.86,0,0,0,1.21,0.45,5.74,0,0,0,2196,0,55,6,14,3,0.16,1,TRUE,FALSE,FALSE,0.28,160,0.3,0.55,0.9,2,0.6,40,45,0.5,0.5,3,TRUE,0.04,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
72,XAUUSD,40.16,0,7,7,0,100,5.74,0,13.86,0,0,0,1.21,0.45,5.74,0,0,0,2196,0,55,6,14,3,0.16,1,TRUE,TRUE,FALSE,0.28,140,0.3,0.55,0.9,2,0.6,40,45,0.5,0.5,3,TRUE,0.04,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
105,GBPUSD,38.8,1.22,34,28,6,82.4,7.71,-29.51,25.69,-45.86,0.9,90.54,3.12,0.26,1.14,-90.54,2,2912,864,65,45,5,10,2,0,20,TRUE,TRUE,FALSE,0,120,0.45,0,1.3,2.8,0.7,40,90,0.7,0,3,TRUE,0,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
107,GBPUSD,38.8,1.22,34,28,6,82.4,7.71,-29.51,25.69,-45.86,0.9,90.54,3.12,0.26,1.14,-90.54,2,2912,864,65,45,5,10,2,0,20,TRUE,TRUE,FALSE,0,120,0.45,0,1.3,2.8,0.7,40,90,0.7,0,3,TRUE,0,3600,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
115,XAUUSD,38.76,1.15,21,15,6,71.4,19.37,-41.96,53.99,-84.16,1.47,150.2,7.8,0.16,1.85,-140.27,2,0,1558,0,60,6,12,2,0.1,250,TRUE,TRUE,FALSE,0.25,220,1,1.6,1.2,2,0.8,40,10,1,0.3,2,FALSE,0.2,90,TRUE,1,18,1.2,0,0.8,TRUE,1,0.3,0.7,15,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
73,XAUUSD,37.18,3.7,10,8,2,80,6.37,-6.88,13.13,-9.51,0.14,13.75,1.17,0.23,3.72,-13.75,2,0,2395,0,60,7,16,4,0.16,1,TRUE,TRUE,FALSE,0.28,140,0.3,0.55,0.9,2,0.6,40,45,0.5,0.5,3,TRUE,0.04,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
79,XAUUSD,37.18,3.7,10,8,2,80,6.37,-6.88,13.13,-9.51,0.14,13.75,1.17,0.23,3.72,-13.75,2,0,2395,0,60,7,16,4,0.16,1,TRUE,FALSE,FALSE,0.28,160,0.3,0.55,0.9,2,0.6,40,45,0.5,0.5,3,TRUE,0.04,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
98,EURUSD,34.67,1.03,73,54,19,74,22.43,-61.93,75.65,-83.06,4.05,413.74,0.12,0.02,0.47,-239.91,3,0,2921,0,70,7,16,4,0,20,TRUE,FALSE,FALSE,0,120,0.8,0,2.2,4,1,25,180,1,0,2,TRUE,0,3600,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
96,EURUSD,34.67,1.03,73,54,19,74,22.43,-61.93,75.65,-83.06,4.05,413.74,0.12,0.02,0.47,-239.91,3,0,2921,0,70,7,16,4,0,20,TRUE,FALSE,FALSE,0,120,0.8,0,2.2,4,1,25,180,1,0,2,TRUE,0,2400,FALSE,0,0,0,0,0,FALSE,0,0,0,0,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
145,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,6,12,3,0.19,9300000,FALSE,TRUE,FALSE,0.3,150,0.75,1.5,1.3,2.8,1.2,30,10,0.8,0.3,1,FALSE,0.08,60,FALSE,0,14,0,0,1,FALSE,0,0.4,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
121,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7,18,4,0.15,150,FALSE,TRUE,FALSE,0.4,200,0.3,1.6,2,4,1,30,5,0.8,0.3,3,TRUE,0.15,30,TRUE,1,14,1.4,0,1.2,FALSE,0,0,0.6,15,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
169,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,12,2,0.18,8200000,FALSE,TRUE,FALSE,0.28,150,0.3,0.5,1.2,2.4,1.2,30,15,0.8,0.3,1,FALSE,0.07,60,FALSE,0,14,0,0,1,FALSE,0,0.4,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
146,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,9,12,2,0.24,11200000,FALSE,TRUE,FALSE,0.25,150,0.5,1.94,1,2,0.8,40,5,0.8,0.3,3,FALSE,0.08,60,FALSE,0,14,0,0,1,FALSE,0,0.4,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
122,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4429,0,70,7,8,5,0.1,100,TRUE,TRUE,FALSE,0.35,220,0.3,1.2,2,4,0.8,40,15,0.5,0.3,2,TRUE,0.15,45,TRUE,1,14,1.6,0,1.2,TRUE,1,0.6,0.5,15,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
170,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7,12,2,0.2,22500000,FALSE,FALSE,FALSE,0.43,150,0.7,0.81,2,3.8,1.2,40,15,0.8,0.3,3,FALSE,0.09,60,FALSE,0,14,0,0,1,TRUE,1,0.4,0.5,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
147,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,7,12,3,0.15,11600000,FALSE,TRUE,FALSE,0.3,150,0.35,0.45,2,4,0.8,30,0,0.8,0.3,3,FALSE,0.06,60,FALSE,0,14,0,0,1,TRUE,2,0.4,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
171,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,3,12,5,0.17,20800000,FALSE,TRUE,FALSE,0.64,150,0.6,0.63,1.3,2.8,1.2,40,0,0.8,0.3,3,FALSE,0.03,60,FALSE,0,14,0,0,1,FALSE,0,0.4,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
123,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,4,18,4,0.15,200,FALSE,TRUE,TRUE,0.4,200,0.5,0.8,1.5,3,1.2,30,10,0.8,0.3,2,FALSE,0.25,60,TRUE,1,21,2,0,1,TRUE,1,0.8,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
148,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,3,12,2,0.15,10400000,FALSE,TRUE,FALSE,0.34,150,0.75,0.47,1.4,2,0.8,50,15,0.8,0.3,2,FALSE,0.03,60,FALSE,0,14,0,0,1,FALSE,0,0.4,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
172,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4,12,4,0.22,3900000,FALSE,TRUE,FALSE,0.32,150,0.7,0.45,1.2,2,1.2,40,0,0.8,0.3,2,FALSE,0.06,60,TRUE,2,14,0,0.5,1,FALSE,0,0.4,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
124,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,8,12,3,0.15,250,FALSE,TRUE,FALSE,0.5,220,0.5,0.8,2.5,5,0.8,40,5,0.8,0.3,3,TRUE,0.25,30,TRUE,2,14,0,0.3,1,TRUE,1,0.4,0.5,15,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
149,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5,12,2,0.22,9200000,FALSE,TRUE,FALSE,0.29,150,0.7,0.68,1.3,2.8,1.2,50,10,0.8,0.3,3,FALSE,0.05,60,FALSE,0,14,0,0,1,FALSE,0,0.4,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
173,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,5,12,3,0.23,23100000,FALSE,TRUE,FALSE,0.57,150,0.45,0.4,2.2,4.2,1.2,40,10,0.8,0.3,1,FALSE,0.07,60,FALSE,0,14,0,0,1,TRUE,1,0.4,0.5,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
125,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,7,18,1,0.1,300,FALSE,TRUE,TRUE,0.3,130,1.2,2,1,2,0.8,30,0,0.8,0.3,1,TRUE,0.4,90,TRUE,1,21,1.4,0,0.8,TRUE,1,0.4,0.7,45,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
174,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,6,12,5,0.17,19300000,TRUE,TRUE,FALSE,0.31,150,1,0.48,1.2,2.5,1,40,10,0.8,0.3,3,FALSE,0.07,60,FALSE,0,14,0,0,1,FALSE,0,0.4,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
150,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,8,12,5,0.23,8400000,TRUE,TRUE,FALSE,0.29,150,0.4,0.46,1.3,2.8,1,50,0,0.8,0.3,1,FALSE,0.06,60,FALSE,0,14,0,0,1,FALSE,0,0.4,0.6,30,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
126,XAUUSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,3,20,5,0.2,250,TRUE,TRUE,TRUE,0.35,120,0.3,1.6,2.5,5,1.2,50,15,0.5,0.3,3,TRUE,0.3,45,TRUE,1,21,1.4,0,1.2,FALSE,0,0,0.6,45,TRUE,14,0.6,0.25,0.8,0.5,0.15,0.4
